destination port,flow duration,total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,flow bytes/s,flow packets/s,flow iat mean,flow iat std,flow iat max,flow iat min,fwd iat total,fwd iat mean,fwd iat std,fwd iat max,fwd iat min,bwd iat total,bwd iat mean,bwd iat std,bwd iat max,bwd iat min,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fwd header length,bwd header length,fwd packets/s,bwd packets/s,min packet length,max packet length,packet length mean,packet length std,packet length variance,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,cwe flag count,ece flag count,down/up ratio,average packet size,avg fwd segment size,avg bwd segment size,fwd avg bytes/bulk,fwd avg packets/bulk,fwd avg bulk rate,bwd avg bytes/bulk,bwd avg packets/bulk,bwd avg bulk rate,subflow fwd packets,subflow fwd bytes,subflow bwd packets,subflow bwd bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active mean,active std,active max,active min,idle mean,idle std,idle max,idle min
389,173,2,2,414,326,207,207,207.0,0.0,163,163,163.0,0.0,4277456.647,23121.38728,57.66666667,16.74315781,77,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,11560.69364,11560.69364,163,207,189.4,24.09979253,580.8,0,0,0,0,0,0,0,0,1,236.75,207.0,163.0,0,0,0,0,0,0,2,414,2,326,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
88,40,1,4,6,24,6,6,6.0,0.0,6,6,6.0,0.0,750000.0,125000.0,10.0,17.3397424,36,1,0,0.0,0.0,0,0,4,1.333333333,0.577350269,2,1,0,0,0,0,20,80,25000.0,100000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,4,7.2,6.0,6.0,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0
88,80,1,4,6,24,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,20.0,32.88363321,69,1,0,0.0,0.0,0,0,71,23.66666667,39.2598183,69,1,0,0,0,0,20,80,12500.0,50000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,4,7.2,6.0,6.0,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0
1031,2,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1,1,2,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,60,0,1500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
1034,2,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1,1,2,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,60,0,1500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
88,38,1,4,6,24,6,6,6.0,0.0,6,6,6.0,0.0,789473.6842,131578.9474,9.5,17.0,35,1,0,0.0,0.0,0,0,3,1.0,0.0,1,1,0,0,0,0,20,80,26315.78947,105263.1579,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,4,7.2,6.0,6.0,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0
53,145,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,1103448.276,27586.2069,48.33333333,76.7875858,137,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,13793.10345,13793.10345,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
389,121,2,2,328,326,164,164,164.0,0.0,163,163,163.0,0.0,5404958.678,33057.85124,40.33333333,63.79916405,114,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,16528.92562,16528.92562,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164.0,163.0,0,0,0,0,0,0,2,328,2,326,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
138,102133850,48,0,10368,0,216,216,216.0,0.0,0,0,0.0,0.0,101.5138468,0.469971513,2173060.638,11300000.0,71700000,1,102000000,2173060.638,11300000.0,71700000,1,0,0.0,0.0,0,0,0,0,0,0,1152,0,0.469971513,0.0,216,216,216.0,0.0,0.0,0,0,0,0,0,0,0,0,0,220.5,216.0,0.0,0,0,0,0,0,0,48,10368,0,0,-1,-1,47,0,19508.5,27500.08983,38954,63,51000000.0,29300000.0,71700000,30400000
138,23719992,46,0,10373,0,237,214,225.5,11.62707568,0,0,0.0,0.0,437.3104342,1.939292391,527110.9333,3535956.354,23700000,1,23700000,527110.9333,3535956.354,23700000,1,0,0.0,0.0,0,0,0,0,0,0,888,0,1.939292391,0.0,214,237,225.7446809,11.62169651,135.0638298,0,0,0,0,0,0,0,0,0,230.6521739,225.5,0.0,0,0,0,0,0,0,46,10373,0,0,-1,-1,45,0,38.0,0.0,38,38,23700000.0,0.0,23700000,23700000
137,34758082,460,0,31280,0,68,68,68.0,0.0,0,0,0.0,0.0,899.9345821,13.23433209,75725.66885,1246244.871,26400000,1,34800000,75725.66885,1246244.871,26400000,1,0,0.0,0.0,0,0,0,0,0,0,9820,0,13.23433209,0.0,68,68,68.0,0.0,0.0,0,0,0,0,0,0,0,0,0,68.14782609,68.0,0.0,0,0,0,0,0,0,460,31280,0,0,-1,-1,459,0,4003094.0,0.0,4003094,4003094,26400000.0,0.0,26400000,26400000
137,30392250,32,30,2040,1860,68,0,63.75,16.72355881,62,62,62.0,0.0,128.3221874,2.039993748,498233.6066,3886207.071,30400000,0,30400000,980391.3548,5451343.621,30400000,0,30400000,1048002.552,5636157.925,30400000,0,0,0,0,0,704,640,1.052899999,0.987093749,0,68,62.98412698,11.87501044,141.015873,0,0,0,0,0,0,0,0,0,64.0,63.75,62.0,0,0,0,0,0,0,32,2040,30,1860,-1,-1,29,0,391.0,0.0,391,391,30400000.0,0.0,30400000,30400000
53,250,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,640000.0,16000.0,83.33333333,103.4037395,200,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,64,8000.0,8000.0,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,215,2,2,80,180,40,40,40.0,0.0,90,90,90.0,0.0,1209302.326,18604.65116,71.66666667,82.09953309,163,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,64,64,9302.325581,9302.325581,40,90,60.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,75.0,40.0,90.0,0,0,0,0,0,0,2,80,2,180,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,233,2,2,58,90,29,29,29.0,0.0,45,45,45.0,0.0,635193.133,17167.38197,77.66666667,50.52062285,136,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,8583.690987,8583.690987,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,0,0,0,0,0,0,2,58,2,90,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
0,4155641,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.481273527,4155641.0,0.0,4155641,4155641,4155641,4155641.0,0.0,4155641,4155641,0,0.0,0.0,0,0,0,0,0,0,0,0,0.481273527,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0
5353,91997219,388,0,37151,0,227,37,95.75,55.78532009,0,0,0.0,0.0,403.8274244,4.217518793,237718.9121,1511621.937,19800000,0,92000000,237718.9121,1511621.937,19800000,0,0,0.0,0.0,0,0,0,0,0,0,7756,0,4.217518793,0.0,37,227,95.70951157,55.7191081,3104.619007,0,0,0,0,0,0,0,0,0,95.95618557,95.75,0.0,0,0,0,0,0,0,388,37151,0,0,-1,-1,387,0,9801663.75,11500000.0,24700000,16,13200000.0,5826904.514,19800000,5817470
123,66966070,6,6,288,288,48,48,48.0,0.0,48,48,48.0,0.0,8.601370814,0.179195225,6087824.545,19500000.0,65000000,191,66900000,13400000.0,28900000.0,65000000,23560,66900000,13400000.0,28900000.0,65000000,23604,0,0,0,0,32,32,0.089597613,0.089597613,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,52.0,48.0,48.0,0,0,0,0,0,0,6,288,6,288,-1,-1,5,0,1968172.0,0.0,1968172,1968172,65000000.0,0.0,65000000,65000000
53,119520,1,1,43,156,43,43,43.0,0.0,156,156,156.0,0.0,1664.993307,16.73360107,119520.0,0.0,119520,119520,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8.366800535,8.366800535,43,156,80.66666667,65.24058042,4256.333333,0,0,0,0,0,0,0,0,1,121.0,43.0,156.0,0,0,0,0,0,0,1,43,1,156,-1,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0
53,23527,1,1,53,106,53,53,53.0,0.0,106,106,106.0,0.0,6758.192715,85.00871339,23527.0,0.0,23527,23527,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,42.5043567,42.5043567,53,106,70.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,106.0,53.0,106.0,0,0,0,0,0,0,1,53,1,106,-1,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0
53,186,2,2,88,150,44,44,44.0,0.0,75,75,75.0,0.0,1279569.892,21505.37634,62.0,67.4388612,136,4,46,46.0,0.0,46,46,4,4.0,0.0,4,4,0,0,0,0,0,0,10752.68817,10752.68817,44,75,56.4,16.97939928,288.3,0,0,0,0,0,0,0,0,1,70.5,44.0,75.0,0,0,0,0,0,0,2,88,2,150,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
53,183,2,2,86,240,43,43,43.0,0.0,120,120,120.0,0.0,1781420.765,21857.9235,61.0,99.59417654,176,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,10928.96175,10928.96175,43,120,73.8,42.17463693,1778.7,0,0,0,0,0,0,0,0,1,92.25,43.0,120.0,0,0,0,0,0,0,2,86,2,240,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
53,196,2,2,80,212,40,40,40.0,0.0,106,106,106.0,0.0,1489795.918,20408.16327,65.33333333,107.9645003,190,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,10204.08163,10204.08163,40,106,66.4,36.1496888,1306.8,0,0,0,0,0,0,0,0,1,83.0,40.0,106.0,0,0,0,0,0,0,2,80,2,212,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
123,94635,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,4057.695356,84.53531991,13519.28571,12348.83269,23524,314,71111,23703.66667,72.45918391,23785,23646,71172,23724.0,100.1798383,23838,23650,0,0,0,0,0,0,42.26765996,42.26765996,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0.0,0.0,0,0,0.0,0.0,0,0
53,119991,2,2,64,290,32,32,32.0,0.0,145,145,145.0,0.0,2950.221267,33.33583352,39997.0,69232.67251,119940,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,0,0,16.66791676,16.66791676,32,145,77.2,61.892649,3830.7,0,0,0,0,0,0,0,0,1,96.5,32.0,145.0,0,0,0,0,0,0,2,64,2,290,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
53,600,2,2,252,252,126,126,126.0,0.0,126,126,126.0,0.0,840000.0,6666.666667,200.0,340.348351,593,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,3333.333333,3333.333333,126,126,126.0,0.0,0.0,0,0,0,0,0,0,0,0,1,157.5,126.0,126.0,0,0,0,0,0,0,2,252,2,252,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
53,24013,2,2,84,190,42,42,42.0,0.0,95,95,95.0,0.0,11410.48599,166.5764378,8004.333333,13819.76303,23962,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,0,0,83.28821888,83.28821888,42,95,63.2,29.02929555,842.7,0,0,0,0,0,0,0,0,1,79.0,42.0,95.0,0,0,0,0,0,0,2,84,2,190,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
53,195,2,2,108,230,54,54,54.0,0.0,115,115,115.0,0.0,1733333.333,20512.82051,65.0,72.69112738,145,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,0,0,0,0,10256.41026,10256.41026,54,115,78.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,98.0,54.0,115.0,0,0,0,0,0,0,2,108,2,230,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
53,735,2,2,206,206,103,103,103.0,0.0,103,103,103.0,0.0,560544.2177,5442.176871,245.0,418.2905689,728,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,2721.088435,2721.088435,103,103,103.0,0.0,0.0,0,0,0,0,0,0,0,0,1,128.75,103.0,103.0,0,0,0,0,0,0,2,206,2,206,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0
123,114254,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,3360.932659,70.01943039,16322.0,15020.99748,28399,167,85888,28629.33333,74.89548273,28712,28566,85954,28651.33333,102.5394233,28714,28533,0,0,0,0,0,0,35.0097152,35.0097152,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0.0,0.0,0,0,0.0,0.0,0,0
123,114602,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,3350.726863,69.80680965,16371.71429,15044.28399,28603,277,86163,28721.0,148.838839,28880,28585,85999,28666.33333,89.0299575,28732,28565,0,0,0,0,0,0,34.90340483,34.90340483,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0.0,0.0,0,0,0.0,0.0,0,0
123,139284,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,2756.957009,57.43660435,19897.71429,18407.58864,34843,83,104738,34912.66667,283.9037396,35132,34592,104441,34813.66667,194.1039241,35016,34629,0,0,0,0,0,0,28.71830217,28.71830217,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,0,0,0,0,0,0,4,192,4,192,-1,-1,3,0,0.0,0.0,0,0,0.0,0.0,0,0
5355,416932,22,0,616,0,28,28,28.0,0.0,0,0,0.0,0.0,1477.459154,52.76639836,19853.90476,90965.98295,416862,0,416932,19853.90476,90965.98295,416862,0,0,0.0,0.0,0,0,0,0,0,0,110,0,52.76639836,0.0,28,28,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0,29.27272727,28.0,0.0,0,0,0,0,0,0,22,616,0,0,-1,-1,21,0,0.0,0.0,0,0,0.0,0.0,0,0
0,98241768,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.071252789,16400000.0,39800000.0,97700000,139,98200000,16400000.0,39800000.0,97700000,139,0,0.0,0.0,0,0,0,0,0,0,0,0,0.071252789,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,-1,-1,0,0,255640.0,0.0,255640,255640,97700000.0,0.0,97700000,97700000
